,,,,,,,,,,Latitude,Longitude,Actual Lat,Actual Lon,Precision (metres),,,,Coordinate,Metres
,,,,,"$GPGSA,A,3,03,06,14,11,24,22,17,19,,,,,1.40,1.11,0.86*00",,,,,,,,,,,,,,
,,,,,"$GPRMC,185705.000,A,3950.9364,N,07531.0726,W,1.00,44.53,070424,,,A*44",39.848940,-75.517877,"39.84894,-75.51787667",,,,,,,,,,,
,,,,,"$GPGGA,185706.000,3950.9370,N,07531.0724,W,1,08,1.11,116.4,M,-33.8,M,,*5E",,,,,,,,,,,,,,
,,,,,"$GPGSA,A,3,03,06,14,11,24,22,17,19,,,,,1.40,1.11,0.86*00",,,,,,,,,,,,,,
,,,,,"$GPGSV,3,1,11,22,67,165,35,19,67,336,32,17,63,053,35,06,61,244,34*77",,,,,,,,,,,,,,
,,,,,"$GPGSV,3,2,11,14,42,155,20,03,34,059,24,44,27,234,,11,23,233,22*75",,,,,,,,,,,,,,
,,,,,"$GPGSV,3,3,11,24,17,287,20,12,04,318,,02,03,055,*4A",,,,,,,,,,,,,,
,,,,,"$GPRMC,185706.000,A,3950.9370,N,07531.0724,W,1.32,33.02,070424,,,A*45",39.848950,-75.517873,"39.84895,-75.51787333",,,,,,,,,,,
,,,,,"$GPGGA,185707.000,3950.9375,N,07531.0722,W,1,08,1.11,116.3,M,-33.8,M,,*5B",,,,,,,,,,,,,,
,,,,,"$GPGSA,A,3,03,06,14,11,24,22,17,19,,,,,1.40,1.11,0.86*00",,,,,,,,,,,,,,
,,,,,"$GPRMC,185707.000,A,3950.9375,N,07531.0722,W,1.38,28.86,070424,,,A*4B",39.848958,-75.517870,"39.84895833,-75.51787",,,,,,,,,,,
,,,,,"$GPGGA,185708.000,3950.9381,N,07531.0718,W,1,08,1.11,116.3,M,-33.8,M,,*56",,,,,,,,,,,,,,
,,,,,"$GPGSA,A,3,03,06,14,11,24,22,17,19,,,,,1.40,1.11,0.86*00",,,,,,,,,,,,,,
,,,,,"$GPRMC,185708.000,A,3950.9381,N,07531.0718,W,1.83,33.37,070424,,,A*46",39.848968,-75.517863,"39.84896833,-75.51786333",,,,,,,,,,,
,,,,,"$GPGGA,185709.000,3950.9389,N,07531.0715,W,1,08,1.11,116.3,M,-33.8,M,,*52",,,,,,,,,,,,,,
,,,,,"$GPGSA,A,3,03,06,14,11,24,22,17,19,,,,,1.40,1.11,0.86*00",,,,,,,,,,,,,,
,,,,,"$GPRMC,185709.000,A,3950.9389,N,07531.0715,W,2.11,30.29,070424,,,A*46",39.848982,-75.517858,"39.84898167,-75.51785833",,,,,,,,,,,
,,,,,"$GPGGA,185710.000,3950.9395,N,07531.0712,W,1,08,1.11,116.3,M,-33.8,M,,*50",,,,,,,,,,,,,,
,,,,,"$GPGSA,A,3,03,06,14,11,24,22,17,19,,,,,1.40,1.11,0.86*00",,,,,,,,,,,,,,
,,,,,"$GPRMC,185710.000,A,3950.9395,N,07531.0712,W,2.06,21.48,070424,,,A*45",39.848992,-75.517853,"39.84899167,-75.51785333",,,,,,,,,,,
,,,,,"$GPGSA,A,3,03,06,14,11,24,22,17,19,,,,,1.40,1.11,0.86*00",,,,,,,,,,,,,,
,,,,,"$GPRMC,185709.000,A,3950.9389,N,07531.0715,W,2.11,30.29,070424,,,A*46",39.848982,-75.517858,"39.84898167,-75.51785833",,,,,,,,,,,
,,,,,"$GPGGA,185710.000,3950.9395,N,07531.0712,W,1,08,1.11,116.3,M,-33.8,M,,*50",,,,,,,,,,,,,,
,,,,,"$GPGSA,A,3,03,06,14,11,24,22,17,19,,,,,1.40,1.11,0.86*00",,,,,,,,,,,,,,
,,,,,"$GPRMC,185710.000,A,3950.9395,N,07531.0712,W,2.06,21.48,070424,,,A*45",39.848992,-75.517853,"39.84899167,-75.51785333",,,,,,,,,,,
,,,,,"$GPGGA,185711.000,3950.9399,N,07531.0707,W,1,08,1.11,116.3,M,-33.8,M,,*59",,,,,,,,,,,,,,
,,,,,"$GPGSA,A,3,03,06,14,11,24,22,17,19,,,,,1.40,1.11,0.86*00",,,,,,,,,,,,,,
,,,,,"$GPGSV,3,1,11,22,67,165,25,19,67,336,32,17,63,053,35,06,61,244,37*75",,,,,,,,,,,,,,
,,,,,"$GPGSV,3,2,11,14,42,155,17,03,34,059,21,44,27,234,28,11,23,233,20*7C",,,,,,,,,,,,,,
,,,,,"$GPGSV,3,3,11,24,17,287,26,12,04,318,,02,03,055,*4C",,,,,,,,,,,,,,
,,,,,"$GPRMC,185711.000,A,3950.9399,N,07531.0707,W,1.88,22.45,070424,,,A*47",39.848998,-75.517845,"39.84899833,-75.517845",,,,,,,,,,,
,,,,,"$GPGGA,185712.000,3950.9403,N,07531.0704,W,1,08,1.11,116.4,M,-33.8,M,,*5A",,,,,,,,,,,,,,
,,,,,"$GPGSA,A,3,03,06,14,11,24,22,17,19,,,,,1.40,1.11,0.86*00",,,,,,,,,,,,,,
,,,,,"$GPRMC,185712.000,A,3950.9403,N,07531.0704,W,1.69,18.84,070424,,,A*48",39.849005,-75.517840,"39.849005,-75.51784",,,,,,,,,,,
,,,,,"$GPGGA,185713.000,3950.9406,N,07531.0705,W,1,08,1.11,116.4,M,-33.8,M,,*5F",,,,,,,,,,,,,,
,,,,,"$GPGSA,A,3,03,06,14,11,24,22,17,19,,,,,1.40,1.11,0.86*00",,,,,,,,,,,,,,
,,,,,"$GPRMC,185713.000,A,3950.9406,N,07531.0705,W,1.35,7.01,070424,,,A*77",39.849010,-75.517842,"39.84901,-75.51784167",,,,,,,,,,,
,,,,,"$GPGGA,185714.000,3950.9406,N,07531.0704,W,1,08,1.15,116.4,M,-33.8,M,,*5D",,,,,,,,,,,,,,
,,,,,"$GPGSA,A,3,03,06,14,11,24,22,17,19,,,,,2.03,1.15,1.67*0E",,,,,,,,,,,,,,
,,,,,"$GPRMC,185714.000,A,3950.9406,N,07531.0704,W,1.00,357.11,070424,,,A*70",39.849010,-75.517840,"39.84901,-75.51784",,,,,,,,,,,
